generated_id,seed_no,variant_index,reference,original_expression,generated_expression,generation_type,distinct_operands_renamed
430,19,7,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V07O01.X019V07O02 +701900703.X019V07O01.701900703.X019V07O02).(X019V07O01.X019V07O04.(X019V07O01.X019V07O02 + 701900703.X019V07O01.701900703.X019V07O02))∗701900703.X019V07O01,operand-renamed_same-structure,4
431,19,8,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V08O01.X019V08O02 +701900803.X019V08O01.701900803.X019V08O02).(X019V08O01.X019V08O04.(X019V08O01.X019V08O02 + 701900803.X019V08O01.701900803.X019V08O02))∗701900803.X019V08O01,operand-renamed_same-structure,4
432,19,9,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V09O01.X019V09O02 +701900903.X019V09O01.701900903.X019V09O02).(X019V09O01.X019V09O04.(X019V09O01.X019V09O02 + 701900903.X019V09O01.701900903.X019V09O02))∗701900903.X019V09O01,operand-renamed_same-structure,4
433,19,10,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V10O01.X019V10O02 +701901003.X019V10O01.701901003.X019V10O02).(X019V10O01.X019V10O04.(X019V10O01.X019V10O02 + 701901003.X019V10O01.701901003.X019V10O02))∗701901003.X019V10O01,operand-renamed_same-structure,4
434,19,11,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V11O01.X019V11O02 +701901103.X019V11O01.701901103.X019V11O02).(X019V11O01.X019V11O04.(X019V11O01.X019V11O02 + 701901103.X019V11O01.701901103.X019V11O02))∗701901103.X019V11O01,operand-renamed_same-structure,4
435,19,12,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V12O01.X019V12O02 +701901203.X019V12O01.701901203.X019V12O02).(X019V12O01.X019V12O04.(X019V12O01.X019V12O02 + 701901203.X019V12O01.701901203.X019V12O02))∗701901203.X019V12O01,operand-renamed_same-structure,4
436,19,13,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V13O01.X019V13O02 +701901303.X019V13O01.701901303.X019V13O02).(X019V13O01.X019V13O04.(X019V13O01.X019V13O02 + 701901303.X019V13O01.701901303.X019V13O02))∗701901303.X019V13O01,operand-renamed_same-structure,4
437,19,14,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V14O01.X019V14O02 +701901403.X019V14O01.701901403.X019V14O02).(X019V14O01.X019V14O04.(X019V14O01.X019V14O02 + 701901403.X019V14O01.701901403.X019V14O02))∗701901403.X019V14O01,operand-renamed_same-structure,4
438,19,15,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V15O01.X019V15O02 +701901503.X019V15O01.701901503.X019V15O02).(X019V15O01.X019V15O04.(X019V15O01.X019V15O02 + 701901503.X019V15O01.701901503.X019V15O02))∗701901503.X019V15O01,operand-renamed_same-structure,4
439,19,16,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V16O01.X019V16O02 +701901603.X019V16O01.701901603.X019V16O02).(X019V16O01.X019V16O04.(X019V16O01.X019V16O02 + 701901603.X019V16O01.701901603.X019V16O02))∗701901603.X019V16O01,operand-renamed_same-structure,4
440,19,17,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V17O01.X019V17O02 +701901703.X019V17O01.701901703.X019V17O02).(X019V17O01.X019V17O04.(X019V17O01.X019V17O02 + 701901703.X019V17O01.701901703.X019V17O02))∗701901703.X019V17O01,operand-renamed_same-structure,4
441,19,18,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V18O01.X019V18O02 +701901803.X019V18O01.701901803.X019V18O02).(X019V18O01.X019V18O04.(X019V18O01.X019V18O02 + 701901803.X019V18O01.701901803.X019V18O02))∗701901803.X019V18O01,operand-renamed_same-structure,4
442,19,19,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V19O01.X019V19O02 +701901903.X019V19O01.701901903.X019V19O02).(X019V19O01.X019V19O04.(X019V19O01.X019V19O02 + 701901903.X019V19O01.701901903.X019V19O02))∗701901903.X019V19O01,operand-renamed_same-structure,4
443,19,20,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V20O01.X019V20O02 +701902003.X019V20O01.701902003.X019V20O02).(X019V20O01.X019V20O04.(X019V20O01.X019V20O02 + 701902003.X019V20O01.701902003.X019V20O02))∗701902003.X019V20O01,operand-renamed_same-structure,4
444,19,21,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V21O01.X019V21O02 +701902103.X019V21O01.701902103.X019V21O02).(X019V21O01.X019V21O04.(X019V21O01.X019V21O02 + 701902103.X019V21O01.701902103.X019V21O02))∗701902103.X019V21O01,operand-renamed_same-structure,4
445,19,22,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V22O01.X019V22O02 +701902203.X019V22O01.701902203.X019V22O02).(X019V22O01.X019V22O04.(X019V22O01.X019V22O02 + 701902203.X019V22O01.701902203.X019V22O02))∗701902203.X019V22O01,operand-renamed_same-structure,4
446,19,23,,(b.c +1.b.1.c).(b.p.(b.c + 1.b.1.c))∗1.b,(X019V23O01.X019V23O02 +701902303.X019V23O01.701902303.X019V23O02).(X019V23O01.X019V23O04.(X019V23O01.X019V23O02 + 701902303.X019V23O01.701902303.X019V23O02))∗701902303.X019V23O01,operand-renamed_same-structure,4
447,20,1,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V01O01.X020V01O02 + 702000103.X020V01O01.702000103.X020V01O02).(X020V01O02.X020V01O04.(X020V01O01.X020V01O02 + 702000103.X020V01O01.702000103.X020V01O02)) ∗702000103.X020V01O02,operand-renamed_same-structure,4
448,20,2,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V02O01.X020V02O02 + 702000203.X020V02O01.702000203.X020V02O02).(X020V02O02.X020V02O04.(X020V02O01.X020V02O02 + 702000203.X020V02O01.702000203.X020V02O02)) ∗702000203.X020V02O02,operand-renamed_same-structure,4
449,20,3,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V03O01.X020V03O02 + 702000303.X020V03O01.702000303.X020V03O02).(X020V03O02.X020V03O04.(X020V03O01.X020V03O02 + 702000303.X020V03O01.702000303.X020V03O02)) ∗702000303.X020V03O02,operand-renamed_same-structure,4
450,20,4,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V04O01.X020V04O02 + 702000403.X020V04O01.702000403.X020V04O02).(X020V04O02.X020V04O04.(X020V04O01.X020V04O02 + 702000403.X020V04O01.702000403.X020V04O02)) ∗702000403.X020V04O02,operand-renamed_same-structure,4
451,20,5,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V05O01.X020V05O02 + 702000503.X020V05O01.702000503.X020V05O02).(X020V05O02.X020V05O04.(X020V05O01.X020V05O02 + 702000503.X020V05O01.702000503.X020V05O02)) ∗702000503.X020V05O02,operand-renamed_same-structure,4
452,20,6,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V06O01.X020V06O02 + 702000603.X020V06O01.702000603.X020V06O02).(X020V06O02.X020V06O04.(X020V06O01.X020V06O02 + 702000603.X020V06O01.702000603.X020V06O02)) ∗702000603.X020V06O02,operand-renamed_same-structure,4
453,20,7,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V07O01.X020V07O02 + 702000703.X020V07O01.702000703.X020V07O02).(X020V07O02.X020V07O04.(X020V07O01.X020V07O02 + 702000703.X020V07O01.702000703.X020V07O02)) ∗702000703.X020V07O02,operand-renamed_same-structure,4
454,20,8,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V08O01.X020V08O02 + 702000803.X020V08O01.702000803.X020V08O02).(X020V08O02.X020V08O04.(X020V08O01.X020V08O02 + 702000803.X020V08O01.702000803.X020V08O02)) ∗702000803.X020V08O02,operand-renamed_same-structure,4
455,20,9,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V09O01.X020V09O02 + 702000903.X020V09O01.702000903.X020V09O02).(X020V09O02.X020V09O04.(X020V09O01.X020V09O02 + 702000903.X020V09O01.702000903.X020V09O02)) ∗702000903.X020V09O02,operand-renamed_same-structure,4
456,20,10,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V10O01.X020V10O02 + 702001003.X020V10O01.702001003.X020V10O02).(X020V10O02.X020V10O04.(X020V10O01.X020V10O02 + 702001003.X020V10O01.702001003.X020V10O02)) ∗702001003.X020V10O02,operand-renamed_same-structure,4
457,20,11,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V11O01.X020V11O02 + 702001103.X020V11O01.702001103.X020V11O02).(X020V11O02.X020V11O04.(X020V11O01.X020V11O02 + 702001103.X020V11O01.702001103.X020V11O02)) ∗702001103.X020V11O02,operand-renamed_same-structure,4
458,20,12,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V12O01.X020V12O02 + 702001203.X020V12O01.702001203.X020V12O02).(X020V12O02.X020V12O04.(X020V12O01.X020V12O02 + 702001203.X020V12O01.702001203.X020V12O02)) ∗702001203.X020V12O02,operand-renamed_same-structure,4
459,20,13,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V13O01.X020V13O02 + 702001303.X020V13O01.702001303.X020V13O02).(X020V13O02.X020V13O04.(X020V13O01.X020V13O02 + 702001303.X020V13O01.702001303.X020V13O02)) ∗702001303.X020V13O02,operand-renamed_same-structure,4
460,20,14,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V14O01.X020V14O02 + 702001403.X020V14O01.702001403.X020V14O02).(X020V14O02.X020V14O04.(X020V14O01.X020V14O02 + 702001403.X020V14O01.702001403.X020V14O02)) ∗702001403.X020V14O02,operand-renamed_same-structure,4
461,20,15,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V15O01.X020V15O02 + 702001503.X020V15O01.702001503.X020V15O02).(X020V15O02.X020V15O04.(X020V15O01.X020V15O02 + 702001503.X020V15O01.702001503.X020V15O02)) ∗702001503.X020V15O02,operand-renamed_same-structure,4
462,20,16,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V16O01.X020V16O02 + 702001603.X020V16O01.702001603.X020V16O02).(X020V16O02.X020V16O04.(X020V16O01.X020V16O02 + 702001603.X020V16O01.702001603.X020V16O02)) ∗702001603.X020V16O02,operand-renamed_same-structure,4
463,20,17,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V17O01.X020V17O02 + 702001703.X020V17O01.702001703.X020V17O02).(X020V17O02.X020V17O04.(X020V17O01.X020V17O02 + 702001703.X020V17O01.702001703.X020V17O02)) ∗702001703.X020V17O02,operand-renamed_same-structure,4
464,20,18,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V18O01.X020V18O02 + 702001803.X020V18O01.702001803.X020V18O02).(X020V18O02.X020V18O04.(X020V18O01.X020V18O02 + 702001803.X020V18O01.702001803.X020V18O02)) ∗702001803.X020V18O02,operand-renamed_same-structure,4
465,20,19,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V19O01.X020V19O02 + 702001903.X020V19O01.702001903.X020V19O02).(X020V19O02.X020V19O04.(X020V19O01.X020V19O02 + 702001903.X020V19O01.702001903.X020V19O02)) ∗702001903.X020V19O02,operand-renamed_same-structure,4
466,20,20,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V20O01.X020V20O02 + 702002003.X020V20O01.702002003.X020V20O02).(X020V20O02.X020V20O04.(X020V20O01.X020V20O02 + 702002003.X020V20O01.702002003.X020V20O02)) ∗702002003.X020V20O02,operand-renamed_same-structure,4
467,20,21,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V21O01.X020V21O02 + 702002103.X020V21O01.702002103.X020V21O02).(X020V21O02.X020V21O04.(X020V21O01.X020V21O02 + 702002103.X020V21O01.702002103.X020V21O02)) ∗702002103.X020V21O02,operand-renamed_same-structure,4
468,20,22,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V22O01.X020V22O02 + 702002203.X020V22O01.702002203.X020V22O02).(X020V22O02.X020V22O04.(X020V22O01.X020V22O02 + 702002203.X020V22O01.702002203.X020V22O02)) ∗702002203.X020V22O02,operand-renamed_same-structure,4
469,20,23,,(b.c + 1.b.1.c).(c.p.(b.c + 1.b.1.c)) ∗1.c,(X020V23O01.X020V23O02 + 702002303.X020V23O01.702002303.X020V23O02).(X020V23O02.X020V23O04.(X020V23O01.X020V23O02 + 702002303.X020V23O01.702002303.X020V23O02)) ∗702002303.X020V23O02,operand-renamed_same-structure,4
470,21,1,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V01O01.(X021V01O01.X021V01O02.(702100103.X021V01O01.X021V01O04 + X021V01O01)) ∗ 702100103.X021V01O01,operand-renamed_same-structure,4
471,21,2,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V02O01.(X021V02O01.X021V02O02.(702100203.X021V02O01.X021V02O04 + X021V02O01)) ∗ 702100203.X021V02O01,operand-renamed_same-structure,4
472,21,3,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V03O01.(X021V03O01.X021V03O02.(702100303.X021V03O01.X021V03O04 + X021V03O01)) ∗ 702100303.X021V03O01,operand-renamed_same-structure,4
473,21,4,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V04O01.(X021V04O01.X021V04O02.(702100403.X021V04O01.X021V04O04 + X021V04O01)) ∗ 702100403.X021V04O01,operand-renamed_same-structure,4
474,21,5,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V05O01.(X021V05O01.X021V05O02.(702100503.X021V05O01.X021V05O04 + X021V05O01)) ∗ 702100503.X021V05O01,operand-renamed_same-structure,4
475,21,6,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V06O01.(X021V06O01.X021V06O02.(702100603.X021V06O01.X021V06O04 + X021V06O01)) ∗ 702100603.X021V06O01,operand-renamed_same-structure,4
476,21,7,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V07O01.(X021V07O01.X021V07O02.(702100703.X021V07O01.X021V07O04 + X021V07O01)) ∗ 702100703.X021V07O01,operand-renamed_same-structure,4
477,21,8,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V08O01.(X021V08O01.X021V08O02.(702100803.X021V08O01.X021V08O04 + X021V08O01)) ∗ 702100803.X021V08O01,operand-renamed_same-structure,4
478,21,9,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V09O01.(X021V09O01.X021V09O02.(702100903.X021V09O01.X021V09O04 + X021V09O01)) ∗ 702100903.X021V09O01,operand-renamed_same-structure,4
479,21,10,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V10O01.(X021V10O01.X021V10O02.(702101003.X021V10O01.X021V10O04 + X021V10O01)) ∗ 702101003.X021V10O01,operand-renamed_same-structure,4
480,21,11,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V11O01.(X021V11O01.X021V11O02.(702101103.X021V11O01.X021V11O04 + X021V11O01)) ∗ 702101103.X021V11O01,operand-renamed_same-structure,4
481,21,12,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V12O01.(X021V12O01.X021V12O02.(702101203.X021V12O01.X021V12O04 + X021V12O01)) ∗ 702101203.X021V12O01,operand-renamed_same-structure,4
482,21,13,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V13O01.(X021V13O01.X021V13O02.(702101303.X021V13O01.X021V13O04 + X021V13O01)) ∗ 702101303.X021V13O01,operand-renamed_same-structure,4
483,21,14,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V14O01.(X021V14O01.X021V14O02.(702101403.X021V14O01.X021V14O04 + X021V14O01)) ∗ 702101403.X021V14O01,operand-renamed_same-structure,4
484,21,15,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V15O01.(X021V15O01.X021V15O02.(702101503.X021V15O01.X021V15O04 + X021V15O01)) ∗ 702101503.X021V15O01,operand-renamed_same-structure,4
485,21,16,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V16O01.(X021V16O01.X021V16O02.(702101603.X021V16O01.X021V16O04 + X021V16O01)) ∗ 702101603.X021V16O01,operand-renamed_same-structure,4
486,21,17,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V17O01.(X021V17O01.X021V17O02.(702101703.X021V17O01.X021V17O04 + X021V17O01)) ∗ 702101703.X021V17O01,operand-renamed_same-structure,4
487,21,18,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V18O01.(X021V18O01.X021V18O02.(702101803.X021V18O01.X021V18O04 + X021V18O01)) ∗ 702101803.X021V18O01,operand-renamed_same-structure,4
488,21,19,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V19O01.(X021V19O01.X021V19O02.(702101903.X021V19O01.X021V19O04 + X021V19O01)) ∗ 702101903.X021V19O01,operand-renamed_same-structure,4
489,21,20,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V20O01.(X021V20O01.X021V20O02.(702102003.X021V20O01.X021V20O04 + X021V20O01)) ∗ 702102003.X021V20O01,operand-renamed_same-structure,4
490,21,21,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V21O01.(X021V21O01.X021V21O02.(702102103.X021V21O01.X021V21O04 + X021V21O01)) ∗ 702102103.X021V21O01,operand-renamed_same-structure,4
491,21,22,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V22O01.(X021V22O01.X021V22O02.(702102203.X021V22O01.X021V22O04 + X021V22O01)) ∗ 702102203.X021V22O01,operand-renamed_same-structure,4
492,21,23,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V23O01.(X021V23O01.X021V23O02.(702102303.X021V23O01.X021V23O04 + X021V23O01)) ∗ 702102303.X021V23O01,operand-renamed_same-structure,4
493,21,24,,b.(b.p.(1.b.q + b)) ∗ 1.b,X021V24O01.(X021V24O01.X021V24O02.(702102403.X021V24O01.X021V24O04 + X021V24O01)) ∗ 702102403.X021V24O01,operand-renamed_same-structure,4
494,22,1,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V01O01+X022V01O02)*((X022V01O01+X022V01O02)(X022V01O01+X022V01O02)*)*,operand-renamed_same-structure,2
495,22,2,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V02O01+X022V02O02)*((X022V02O01+X022V02O02)(X022V02O01+X022V02O02)*)*,operand-renamed_same-structure,2
496,22,3,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V03O01+X022V03O02)*((X022V03O01+X022V03O02)(X022V03O01+X022V03O02)*)*,operand-renamed_same-structure,2
497,22,4,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V04O01+X022V04O02)*((X022V04O01+X022V04O02)(X022V04O01+X022V04O02)*)*,operand-renamed_same-structure,2
498,22,5,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V05O01+X022V05O02)*((X022V05O01+X022V05O02)(X022V05O01+X022V05O02)*)*,operand-renamed_same-structure,2
499,22,6,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V06O01+X022V06O02)*((X022V06O01+X022V06O02)(X022V06O01+X022V06O02)*)*,operand-renamed_same-structure,2
500,22,7,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V07O01+X022V07O02)*((X022V07O01+X022V07O02)(X022V07O01+X022V07O02)*)*,operand-renamed_same-structure,2
501,22,8,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V08O01+X022V08O02)*((X022V08O01+X022V08O02)(X022V08O01+X022V08O02)*)*,operand-renamed_same-structure,2
502,22,9,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V09O01+X022V09O02)*((X022V09O01+X022V09O02)(X022V09O01+X022V09O02)*)*,operand-renamed_same-structure,2
503,22,10,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V10O01+X022V10O02)*((X022V10O01+X022V10O02)(X022V10O01+X022V10O02)*)*,operand-renamed_same-structure,2
504,22,11,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V11O01+X022V11O02)*((X022V11O01+X022V11O02)(X022V11O01+X022V11O02)*)*,operand-renamed_same-structure,2
505,22,12,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V12O01+X022V12O02)*((X022V12O01+X022V12O02)(X022V12O01+X022V12O02)*)*,operand-renamed_same-structure,2
506,22,13,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V13O01+X022V13O02)*((X022V13O01+X022V13O02)(X022V13O01+X022V13O02)*)*,operand-renamed_same-structure,2
507,22,14,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V14O01+X022V14O02)*((X022V14O01+X022V14O02)(X022V14O01+X022V14O02)*)*,operand-renamed_same-structure,2
508,22,15,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V15O01+X022V15O02)*((X022V15O01+X022V15O02)(X022V15O01+X022V15O02)*)*,operand-renamed_same-structure,2
509,22,16,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V16O01+X022V16O02)*((X022V16O01+X022V16O02)(X022V16O01+X022V16O02)*)*,operand-renamed_same-structure,2
510,22,17,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V17O01+X022V17O02)*((X022V17O01+X022V17O02)(X022V17O01+X022V17O02)*)*,operand-renamed_same-structure,2
511,22,18,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V18O01+X022V18O02)*((X022V18O01+X022V18O02)(X022V18O01+X022V18O02)*)*,operand-renamed_same-structure,2
512,22,19,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V19O01+X022V19O02)*((X022V19O01+X022V19O02)(X022V19O01+X022V19O02)*)*,operand-renamed_same-structure,2
513,22,20,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V20O01+X022V20O02)*((X022V20O01+X022V20O02)(X022V20O01+X022V20O02)*)*,operand-renamed_same-structure,2
514,22,21,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V21O01+X022V21O02)*((X022V21O01+X022V21O02)(X022V21O01+X022V21O02)*)*,operand-renamed_same-structure,2
515,22,22,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V22O01+X022V22O02)*((X022V22O01+X022V22O02)(X022V22O01+X022V22O02)*)*,operand-renamed_same-structure,2
516,22,23,1994-A completeness theorem for Kleene algebras and the algebra of regular events,(a+b)*((a+b)(a+b)*)*,(X022V23O01+X022V23O02)*((X022V23O01+X022V23O02)(X022V23O01+X022V23O02)*)*,operand-renamed_same-structure,2
517,23,1,,(a+b)*((a+b)*)*,(X023V01O01+X023V01O02)*((X023V01O01+X023V01O02)*)*,operand-renamed_same-structure,2
518,23,2,,(a+b)*((a+b)*)*,(X023V02O01+X023V02O02)*((X023V02O01+X023V02O02)*)*,operand-renamed_same-structure,2
519,23,3,,(a+b)*((a+b)*)*,(X023V03O01+X023V03O02)*((X023V03O01+X023V03O02)*)*,operand-renamed_same-structure,2
520,23,4,,(a+b)*((a+b)*)*,(X023V04O01+X023V04O02)*((X023V04O01+X023V04O02)*)*,operand-renamed_same-structure,2
521,23,5,,(a+b)*((a+b)*)*,(X023V05O01+X023V05O02)*((X023V05O01+X023V05O02)*)*,operand-renamed_same-structure,2
522,23,6,,(a+b)*((a+b)*)*,(X023V06O01+X023V06O02)*((X023V06O01+X023V06O02)*)*,operand-renamed_same-structure,2
523,23,7,,(a+b)*((a+b)*)*,(X023V07O01+X023V07O02)*((X023V07O01+X023V07O02)*)*,operand-renamed_same-structure,2
524,23,8,,(a+b)*((a+b)*)*,(X023V08O01+X023V08O02)*((X023V08O01+X023V08O02)*)*,operand-renamed_same-structure,2
525,23,9,,(a+b)*((a+b)*)*,(X023V09O01+X023V09O02)*((X023V09O01+X023V09O02)*)*,operand-renamed_same-structure,2
526,23,10,,(a+b)*((a+b)*)*,(X023V10O01+X023V10O02)*((X023V10O01+X023V10O02)*)*,operand-renamed_same-structure,2
527,23,11,,(a+b)*((a+b)*)*,(X023V11O01+X023V11O02)*((X023V11O01+X023V11O02)*)*,operand-renamed_same-structure,2
528,23,12,,(a+b)*((a+b)*)*,(X023V12O01+X023V12O02)*((X023V12O01+X023V12O02)*)*,operand-renamed_same-structure,2
529,23,13,,(a+b)*((a+b)*)*,(X023V13O01+X023V13O02)*((X023V13O01+X023V13O02)*)*,operand-renamed_same-structure,2
530,23,14,,(a+b)*((a+b)*)*,(X023V14O01+X023V14O02)*((X023V14O01+X023V14O02)*)*,operand-renamed_same-structure,2
531,23,15,,(a+b)*((a+b)*)*,(X023V15O01+X023V15O02)*((X023V15O01+X023V15O02)*)*,operand-renamed_same-structure,2
532,23,16,,(a+b)*((a+b)*)*,(X023V16O01+X023V16O02)*((X023V16O01+X023V16O02)*)*,operand-renamed_same-structure,2
533,23,17,,(a+b)*((a+b)*)*,(X023V17O01+X023V17O02)*((X023V17O01+X023V17O02)*)*,operand-renamed_same-structure,2
534,23,18,,(a+b)*((a+b)*)*,(X023V18O01+X023V18O02)*((X023V18O01+X023V18O02)*)*,operand-renamed_same-structure,2
535,23,19,,(a+b)*((a+b)*)*,(X023V19O01+X023V19O02)*((X023V19O01+X023V19O02)*)*,operand-renamed_same-structure,2
536,23,20,,(a+b)*((a+b)*)*,(X023V20O01+X023V20O02)*((X023V20O01+X023V20O02)*)*,operand-renamed_same-structure,2
537,23,21,,(a+b)*((a+b)*)*,(X023V21O01+X023V21O02)*((X023V21O01+X023V21O02)*)*,operand-renamed_same-structure,2
538,23,22,,(a+b)*((a+b)*)*,(X023V22O01+X023V22O02)*((X023V22O01+X023V22O02)*)*,operand-renamed_same-structure,2
539,23,23,,(a+b)*((a+b)*)*,(X023V23O01+X023V23O02)*((X023V23O01+X023V23O02)*)*,operand-renamed_same-structure,2
540,24,1,,(a+ad*c)*,(X024V01O01+X024V01O02*X024V01O03)*,operand-renamed_same-structure,3
541,24,2,,(a+ad*c)*,(X024V02O01+X024V02O02*X024V02O03)*,operand-renamed_same-structure,3
542,24,3,,(a+ad*c)*,(X024V03O01+X024V03O02*X024V03O03)*,operand-renamed_same-structure,3
